index,period,heading,context,question,extractive answer,abstractive answer
2000,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Còn ở Bắc Kỳ, trước Hội đồng dân biểu Bắc Kỳ ngày 9/11/1932, Thống sứ Bắc Kỳ Pagès trình bày chương trình ""cải cách chính trị ở Bắc Kỳ"", trong đó khẳng định ""cải cách"" là lập lại chế độ bảo hộ chặt chẽ ở đây, rằng: “Về chính thể bảo hộ, tôi công nhiên tuyên bố chính là cái quan niệm rất thiết tha của tôi để mà chủ trì việc giao tế của nước Pháp với nhân dân Bắc Kỳ vậy. Cái chính thể ấy vốn là của La Mã di truyền cho nước Pháp khi xưa, là gồm có sự khoan dung, sự bảo tồn cái tục lệ và sự thực hành một chính sách có lợi cho cả đôi bên” .",Thống sứ Bắc Kỳ Pagès trình bày chương trình gì trước Hội đồng dân biểu Bắc Kỳ?,cải cách chính trị ở Bắc Kỳ,"Thống sứ Bắc Kỳ Pagès trình bày chương trình ""cải cách chính trị ở Bắc Kỳ"" trước Hội đồng dân biểu Bắc Kỳ."
2001,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Còn ở Bắc Kỳ, trước Hội đồng dân biểu Bắc Kỳ ngày 9/11/1932, Thống sứ Bắc Kỳ Pagès trình bày chương trình ""cải cách chính trị ở Bắc Kỳ"", trong đó khẳng định ""cải cách"" là lập lại chế độ bảo hộ chặt chẽ ở đây, rằng: “Về chính thể bảo hộ, tôi công nhiên tuyên bố chính là cái quan niệm rất thiết tha của tôi để mà chủ trì việc giao tế của nước Pháp với nhân dân Bắc Kỳ vậy. Cái chính thể ấy vốn là của La Mã di truyền cho nước Pháp khi xưa, là gồm có sự khoan dung, sự bảo tồn cái tục lệ và sự thực hành một chính sách có lợi cho cả đôi bên” .","Pagès khẳng định mục tiêu của ""cải cách"" ở Bắc Kỳ là gì?",lập lại chế độ bảo hộ chặt chẽ,"Pagès khẳng định ""cải cách"" là để tái lập chế độ bảo hộ chặt chẽ ở Bắc Kỳ."
2002,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Còn ở Bắc Kỳ, trước Hội đồng dân biểu Bắc Kỳ ngày 9/11/1932, Thống sứ Bắc Kỳ Pagès trình bày chương trình ""cải cách chính trị ở Bắc Kỳ"", trong đó khẳng định ""cải cách"" là lập lại chế độ bảo hộ chặt chẽ ở đây, rằng: “Về chính thể bảo hộ, tôi công nhiên tuyên bố chính là cái quan niệm rất thiết tha của tôi để mà chủ trì việc giao tế của nước Pháp với nhân dân Bắc Kỳ vậy. Cái chính thể ấy vốn là của La Mã di truyền cho nước Pháp khi xưa, là gồm có sự khoan dung, sự bảo tồn cái tục lệ và sự thực hành một chính sách có lợi cho cả đôi bên” .",Pagès mô tả chính thể bảo hộ như thế nào?,"khoan dung, bảo tồn tục lệ, chính sách có lợi cho cả đôi bên","Pagès mô tả chính thể bảo hộ là khoan dung, bảo tồn tục lệ và thực hiện chính sách có lợi cho cả Pháp và người dân Bắc Kỳ, theo mô hình của La Mã cổ đại."
2003,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Như vậy, cho đến khi Bảo Đại về nước, việc ""cải cách"" về thể chế chính trị của Pierre Pasquier đã căn bản hoàn thành. Chế độ trực trị nửa chừng trước đây đã được thay thế bằng chế độ bảo hộ để đỡ cho Pháp phải đối đầu trực diện với phong trào đấu tranh của nhân dân Việt Nam, cũng tránh được mặc cảm bị ""mất nước”, ""không có vua"", và thỏa mãn ""cơn khát độc lập"" của giới đại thượng lưu trí thức bản xứ lúc bấy giờ.","Khi Bảo Đại về nước, việc ""cải cách"" thể chế chính trị của Pasquier đã đạt được điều gì?",căn bản hoàn thành,"Khi Bảo Đại về nước, việc ""cải cách"" thể chế chính trị của Pierre Pasquier về cơ bản đã hoàn thành."
2004,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Như vậy, cho đến khi Bảo Đại về nước, việc ""cải cách"" về thể chế chính trị của Pierre Pasquier đã căn bản hoàn thành. Chế độ trực trị nửa chừng trước đây đã được thay thế bằng chế độ bảo hộ để đỡ cho Pháp phải đối đầu trực diện với phong trào đấu tranh của nhân dân Việt Nam, cũng tránh được mặc cảm bị ""mất nước”, ""không có vua"", và thỏa mãn ""cơn khát độc lập"" của giới đại thượng lưu trí thức bản xứ lúc bấy giờ.",Chế độ nào thay thế chế độ trực trị nửa chừng trước đây?,chế độ bảo hộ,Chế độ trực trị nửa vời trước đó đã được thay thế bằng chế độ bảo hộ.
2005,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Như vậy, cho đến khi Bảo Đại về nước, việc ""cải cách"" về thể chế chính trị của Pierre Pasquier đã căn bản hoàn thành. Chế độ trực trị nửa chừng trước đây đã được thay thế bằng chế độ bảo hộ để đỡ cho Pháp phải đối đầu trực diện với phong trào đấu tranh của nhân dân Việt Nam, cũng tránh được mặc cảm bị ""mất nước”, ""không có vua"", và thỏa mãn ""cơn khát độc lập"" của giới đại thượng lưu trí thức bản xứ lúc bấy giờ.",Việc thay đổi thể chế này có lợi ích gì cho Pháp?,"đỡ phải đối đầu trực diện với phong trào đấu tranh, tránh mặc cảm ""mất nước"", thỏa mãn ""cơn khát độc lập""","Việc này giúp Pháp tránh đối đầu trực tiếp với phong trào đấu tranh của người dân Việt Nam, xoa dịu cảm giác ""mất nước"", ""không có vua"" và đáp ứng mong muốn độc lập của giới trí thức thượng lưu bản xứ."
2006,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Sau Chiến tranh thế giới thứ nhất, để phục vụ cuộc đại khai thác thuộc địa lần thứ hai, Chính phủ Pháp đã tiến hành củng cố một lần nữa bộ máy chính quyền thuộc địa. Nhưng bộ máy được củng cố theo tư tưởng của Hội Tam điểm Pháp nay không mấy còn phù hợp nữa. Bởi vì, bộ máy đàn áp và tư pháp của chính quyền thuộc địa không đủ sức giăng ra trên cả một lãnh thổ rộng lớn để kiểm soát và phản ứng nhanh trước phong trào dân tộc thì bộ máy quan lại Nam triều dường như không còn đủ sinh lực và uy lực để giúp chính quyền thực dân trong việc cai trị và khai thác thuộc địa nữa. Vì thế, cùng với những sửa đổi về chính trị, Pierre Pasquier đã thúc đẩy nhanh việc ""cải cách"" bộ máy chính quyền theo hướng kết hợp giữa củng cố bộ máy chính quyền thực dân với việc phục hoạt bộ máy quan lại bản xứ để làm cho cả bộ máy chính quyền thực dân - phong kiến Việt Nam đủ ""mạnh"", đủ ""ran”, đủ ""khôn ngoan"" để chống phá phong trào cách mạng, ổn định trật tự xã hội thuộc địa, giúp Pháp thoát ra khỏi khủng hoảng.",Mục đích của việc củng cố bộ máy chính quyền thuộc địa sau Chiến tranh thế giới thứ nhất là gì?,phục vụ cuộc đại khai thác thuộc địa lần thứ hai,Việc củng cố bộ máy chính quyền thuộc địa sau Chiến tranh thế giới thứ nhất nhằm phục vụ cho cuộc khai thác thuộc địa lần thứ hai của Pháp.
2007,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Sau Chiến tranh thế giới thứ nhất, để phục vụ cuộc đại khai thác thuộc địa lần thứ hai, Chính phủ Pháp đã tiến hành củng cố một lần nữa bộ máy chính quyền thuộc địa. Nhưng bộ máy được củng cố theo tư tưởng của Hội Tam điểm Pháp nay không mấy còn phù hợp nữa. Bởi vì, bộ máy đàn áp và tư pháp của chính quyền thuộc địa không đủ sức giăng ra trên cả một lãnh thổ rộng lớn để kiểm soát và phản ứng nhanh trước phong trào dân tộc thì bộ máy quan lại Nam triều dường như không còn đủ sinh lực và uy lực để giúp chính quyền thực dân trong việc cai trị và khai thác thuộc địa nữa. Vì thế, cùng với những sửa đổi về chính trị, Pierre Pasquier đã thúc đẩy nhanh việc ""cải cách"" bộ máy chính quyền theo hướng kết hợp giữa củng cố bộ máy chính quyền thực dân với việc phục hoạt bộ máy quan lại bản xứ để làm cho cả bộ máy chính quyền thực dân - phong kiến Việt Nam đủ ""mạnh"", đủ ""ran”, đủ ""khôn ngoan"" để chống phá phong trào cách mạng, ổn định trật tự xã hội thuộc địa, giúp Pháp thoát ra khỏi khủng hoảng.",Tại sao bộ máy chính quyền cũ không còn phù hợp?,"bộ máy đàn áp và tư pháp không đủ sức kiểm soát, bộ máy quan lại Nam triều suy yếu","Bộ máy đàn áp và tư pháp của chính quyền thuộc địa không đủ khả năng kiểm soát lãnh thổ rộng lớn và phản ứng nhanh với phong trào dân tộc, trong khi bộ máy quan lại Nam triều suy yếu."
2008,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Sau Chiến tranh thế giới thứ nhất, để phục vụ cuộc đại khai thác thuộc địa lần thứ hai, Chính phủ Pháp đã tiến hành củng cố một lần nữa bộ máy chính quyền thuộc địa. Nhưng bộ máy được củng cố theo tư tưởng của Hội Tam điểm Pháp nay không mấy còn phù hợp nữa. Bởi vì, bộ máy đàn áp và tư pháp của chính quyền thuộc địa không đủ sức giăng ra trên cả một lãnh thổ rộng lớn để kiểm soát và phản ứng nhanh trước phong trào dân tộc thì bộ máy quan lại Nam triều dường như không còn đủ sinh lực và uy lực để giúp chính quyền thực dân trong việc cai trị và khai thác thuộc địa nữa. Vì thế, cùng với những sửa đổi về chính trị, Pierre Pasquier đã thúc đẩy nhanh việc ""cải cách"" bộ máy chính quyền theo hướng kết hợp giữa củng cố bộ máy chính quyền thực dân với việc phục hoạt bộ máy quan lại bản xứ để làm cho cả bộ máy chính quyền thực dân - phong kiến Việt Nam đủ ""mạnh"", đủ ""ran”, đủ ""khôn ngoan"" để chống phá phong trào cách mạng, ổn định trật tự xã hội thuộc địa, giúp Pháp thoát ra khỏi khủng hoảng.","Hướng ""cải cách"" bộ máy chính quyền của Pierre Pasquier là gì?",kết hợp củng cố bộ máy thực dân với phục hoạt bộ máy quan lại bản xứ,"Pierre Pasquier chủ trương ""cải cách"" bộ máy chính quyền theo hướng kết hợp giữa việc củng cố bộ máy của chính quyền thực dân và phục hoạt bộ máy quan lại bản xứ."
2009,Giai đoạn 1858 - 1945,Chính sách thuộc địa 'mới' của Pháp,"Sau Chiến tranh thế giới thứ nhất, để phục vụ cuộc đại khai thác thuộc địa lần thứ hai, Chính phủ Pháp đã tiến hành củng cố một lần nữa bộ máy chính quyền thuộc địa. Nhưng bộ máy được củng cố theo tư tưởng của Hội Tam điểm Pháp nay không mấy còn phù hợp nữa. Bởi vì, bộ máy đàn áp và tư pháp của chính quyền thuộc địa không đủ sức giăng ra trên cả một lãnh thổ rộng lớn để kiểm soát và phản ứng nhanh trước phong trào dân tộc thì bộ máy quan lại Nam triều dường như không còn đủ sinh lực và uy lực để giúp chính quyền thực dân trong việc cai trị và khai thác thuộc địa nữa. Vì thế, cùng với những sửa đổi về chính trị, Pierre Pasquier đã thúc đẩy nhanh việc ""cải cách"" bộ máy chính quyền theo hướng kết hợp giữa củng cố bộ máy chính quyền thực dân với việc phục hoạt bộ máy quan lại bản xứ để làm cho cả bộ máy chính quyền thực dân - phong kiến Việt Nam đủ ""mạnh"", đủ ""ran”, đủ ""khôn ngoan"" để chống phá phong trào cách mạng, ổn định trật tự xã hội thuộc địa, giúp Pháp thoát ra khỏi khủng hoảng.","Mục tiêu cuối cùng của việc ""cải cách"" bộ máy chính quyền là gì?","chống phá phong trào cách mạng, ổn định trật tự xã hội, giúp Pháp thoát khỏi khủng hoảng","Mục tiêu cuối cùng là chống lại phong trào cách mạng, ổn định trật tự xã hội thuộc địa và giúp Pháp vượt qua khủng hoảng."
