index,period,heading,context,question,extractive answer,abstractive answer
0,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Vào mùa thu năm Mậu Tuất (938), nhận thấy nguy cơ xâm lược của nhà Nam Hán đang cận kề, Ngô Quyền đã tập hợp lực lượng, tiến quân từ châu Ái ra Đại La. Ông nhanh chóng tiêu diệt Kiều Công Tiễn — kẻ phản bội cấu kết với ngoại bang — nhằm cắt đứt âm mưu nội ứng, chuẩn bị cho cuộc chiến quyết định chống giặc. Theo ""Việt sử lược"", việc Kiều Công Tiễn cầu cứu Nam Hán không chỉ thể hiện sự phản bội mà còn thúc đẩy nhà Nam Hán nhanh chóng thực hiện mưu đồ xâm lược, đẩy dân tộc ta vào một thử thách lớn trong công cuộc giành lại độc lập.",Hành động của Ngô Quyền và Kiều Công Tiễn phản ánh điều gì về tình hình đất nước trước cuộc kháng chiến chống Nam Hán?,"Hành động kiên quyết của Ngô Quyền thể hiện tinh thần tự chủ và ý chí bảo vệ độc lập dân tộc, trong khi sự phản bội của Kiều Công Tiễn cho thấy nguy cơ nội bộ gây tổn hại lớn, tiếp tay cho tham vọng xâm lược của ngoại bang.","Ngô Quyền diệt trừ Kiều Công Tiễn phản bội, kẻ tiếp tay thúc đẩy Nam Hán xâm lược."
1,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Vào mùa thu năm Mậu Tuất (938), nhận thấy nguy cơ xâm lược của nhà Nam Hán đang cận kề, Ngô Quyền đã tập hợp lực lượng, tiến quân từ châu Ái ra Đại La. Ông nhanh chóng tiêu diệt Kiều Công Tiễn — kẻ phản bội cấu kết với ngoại bang — nhằm cắt đứt âm mưu nội ứng, chuẩn bị cho cuộc chiến quyết định chống giặc. Theo ""Việt sử lược"", việc Kiều Công Tiễn cầu cứu Nam Hán không chỉ thể hiện sự phản bội mà còn thúc đẩy nhà Nam Hán nhanh chóng thực hiện mưu đồ xâm lược, đẩy dân tộc ta vào một thử thách lớn trong công cuộc giành lại độc lập.",Tại sao việc Ngô Quyền tiêu diệt Kiều Công Tiễn lại mang ý nghĩa chiến lược trong cuộc kháng chiến chống Nam Hán?,"Việc tiêu diệt Kiều Công Tiễn giúp Ngô Quyền loại bỏ nguy cơ nội ứng, giữ vững hậu phương, đồng thời chủ động chuẩn bị thế trận đánh bại quân Nam Hán.","Diệt Kiều Công Tiễn giúp Ngô Quyền cắt nội ứng, chuẩn bị chiến đấu chống quân Nam Hán."
2,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Vào mùa thu năm Mậu Tuất (938), nhận thấy nguy cơ xâm lược của nhà Nam Hán đang cận kề, Ngô Quyền đã tập hợp lực lượng, tiến quân từ châu Ái ra Đại La. Ông nhanh chóng tiêu diệt Kiều Công Tiễn — kẻ phản bội cấu kết với ngoại bang — nhằm cắt đứt âm mưu nội ứng, chuẩn bị cho cuộc chiến quyết định chống giặc. Theo ""Việt sử lược"", việc Kiều Công Tiễn cầu cứu Nam Hán không chỉ thể hiện sự phản bội mà còn thúc đẩy nhà Nam Hán nhanh chóng thực hiện mưu đồ xâm lược, đẩy dân tộc ta vào một thử thách lớn trong công cuộc giành lại độc lập.",Hành động cầu cứu Nam Hán của Kiều Công Tiễn cho thấy thực trạng gì của xã hội Việt Nam lúc bấy giờ?,"Hành động đó phản ánh sự chia rẽ nội bộ và sự tồn tại của những thế lực phản quốc, làm suy yếu khối đoàn kết dân tộc trong bối cảnh đất nước đứng trước họa xâm lăng.","Hành động cầu cứu Nam Hán của Kiều Công Tiễn là phản bội, đẩy dân tộc vào thử thách lớn."
3,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Vào mùa thu năm Mậu Tuất (938), nhận thấy nguy cơ xâm lược của nhà Nam Hán đang cận kề, Ngô Quyền đã tập hợp lực lượng, tiến quân từ châu Ái ra Đại La. Ông nhanh chóng tiêu diệt Kiều Công Tiễn — kẻ phản bội cấu kết với ngoại bang — nhằm cắt đứt âm mưu nội ứng, chuẩn bị cho cuộc chiến quyết định chống giặc. Theo ""Việt sử lược"", việc Kiều Công Tiễn cầu cứu Nam Hán không chỉ thể hiện sự phản bội mà còn thúc đẩy nhà Nam Hán nhanh chóng thực hiện mưu đồ xâm lược, đẩy dân tộc ta vào một thử thách lớn trong công cuộc giành lại độc lập.",Ý nghĩa lịch sử của việc Ngô Quyền chủ động tiến quân từ châu Ái ra Đại La là gì?,"Đó là bước đi quyết đoán thể hiện tầm nhìn chiến lược, đưa Ngô Quyền trở thành người lãnh đạo cuộc kháng chiến, đồng thời đặt nền móng cho sự nghiệp giành độc lập bền vững của dân tộc.

.","Việc Ngô Quyền tiêu diệt Kiều Công Tiễn là bước chuẩn bị chiến lược cho cuộc chiến quyết định, đặt n."
4,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Khi nhận được tin cầu cứu của Kiều Công Tiễn, triều đình Nam Hán lập tức nhóm họp để bàn kế hoạch xuất quân. Mặc dù có nội ứng từ Kiều Công Tiễn, thất bại đau đớn bảy năm trước (931) vẫn là bài học khiến Lưu Cung — người lãnh đạo Nam Hán — phải thận trọng. Ông đã tham khảo ý kiến Tiêu Ích, một đại thần am hiểu tình hình Giao Châu. Tiêu Ích cảnh báo rằng thời tiết bất lợi, đường biển hiểm trở, và Ngô Quyền là một đối thủ kiệt xuất, cần hết sức thận trọng. Tuy nhiên, vì quá tham vọng tái chiếm Giao Châu, vua Nam Hán đã phớt lờ lời khuyên, quyết tâm chuẩn bị chiến dịch quân sự để thực hiện mưu đồ xâm lược.
",Phản ứng của triều đình Nam Hán trước lời cầu cứu của Kiều Công Tiễn cho thấy điều gì?,"Phản ứng nhanh chóng của Nam Hán cho thấy tham vọng chiếm lại Giao Châu luôn cháy bỏng, chỉ chờ cơ hội thuận lợi để hành động.
.",Nam Hán phản ứng rất nhanh do tham vọng tái chiếm Giao Châu.
5,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Khi nhận được tin cầu cứu của Kiều Công Tiễn, triều đình Nam Hán lập tức nhóm họp để bàn kế hoạch xuất quân. Mặc dù có nội ứng từ Kiều Công Tiễn, thất bại đau đớn bảy năm trước (931) vẫn là bài học khiến Lưu Cung — người lãnh đạo Nam Hán — phải thận trọng. Ông đã tham khảo ý kiến Tiêu Ích, một đại thần am hiểu tình hình Giao Châu. Tiêu Ích cảnh báo rằng thời tiết bất lợi, đường biển hiểm trở, và Ngô Quyền là một đối thủ kiệt xuất, cần hết sức thận trọng. Tuy nhiên, vì quá tham vọng tái chiếm Giao Châu, vua Nam Hán đã phớt lờ lời khuyên, quyết tâm chuẩn bị chiến dịch quân sự để thực hiện mưu đồ xâm lược.
",Ý kiến của Tiêu Ích phản ánh thái độ gì đối với cuộc xâm lược Giao Châu?,"Ý kiến của Tiêu Ích thể hiện sự thận trọng, cảnh báo về khó khăn tự nhiên và sức mạnh của Ngô Quyền, cho thấy nhận thức rõ về nguy cơ thất bại.","Tiêu Ích cảnh báo về hiểm nguy tự nhiên, đối thủ mạnh Ngô Quyền, khuyên cần hết sức thận trọng."
6,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Khi nhận được tin cầu cứu của Kiều Công Tiễn, triều đình Nam Hán lập tức nhóm họp để bàn kế hoạch xuất quân. Mặc dù có nội ứng từ Kiều Công Tiễn, thất bại đau đớn bảy năm trước (931) vẫn là bài học khiến Lưu Cung — người lãnh đạo Nam Hán — phải thận trọng. Ông đã tham khảo ý kiến Tiêu Ích, một đại thần am hiểu tình hình Giao Châu. Tiêu Ích cảnh báo rằng thời tiết bất lợi, đường biển hiểm trở, và Ngô Quyền là một đối thủ kiệt xuất, cần hết sức thận trọng. Tuy nhiên, vì quá tham vọng tái chiếm Giao Châu, vua Nam Hán đã phớt lờ lời khuyên, quyết tâm chuẩn bị chiến dịch quân sự để thực hiện mưu đồ xâm lược.
",Bài học thất bại năm 931 ảnh hưởng thế nào đến tâm lý của Nam Hán khi chuẩn bị cuộc xâm lược năm 938?,"Bài học thất bại khiến Nam Hán thận trọng hơn trong việc lập kế hoạch, nhưng cuối cùng vẫn bị tham vọng thúc đẩy dẫn đến những quyết định thiếu sáng suốt.","Bài học thất bại ban đầu khiến Nam Hán thận trọng, nhưng tham vọng đã khiến họ bỏ qua lời khuyên để."
7,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Với kế hoạch chuẩn bị kỹ lưỡng cùng niềm tin rằng đã có Kiều Công Tiễn làm nội ứng, quân Nam Hán hy vọng sẽ nhanh chóng chiếm được Giao Châu nhờ chiến thuật ""nội công ngoại kích."" Tuy nhiên, chúng không ngờ rằng Ngô Quyền đã kịp thời diệt trừ Kiều Công Tiễn, phá vỡ kế hoạch từ bên trong, đồng thời bày trận sẵn để dụ địch vào bẫy. Vào cuối mùa đông năm Mậu Tuất (938), gió mùa đông bắc thuận lợi khiến binh thuyền Nam Hán tiến xuống phương Nam dễ dàng, càng khiến chúng chủ quan và hăng hái. Quân Nam Hán tin rằng cuộc viễn chinh này sẽ nhanh chóng thành công, không hay biết rằng chỗ dựa chiến lược của mình đã sụp đổ.",Kế hoạch ban đầu của quân Nam Hán dựa vào yếu tố nào để tin tưởng chiến thắng?,"Quân Nam Hán tin tưởng vào sự phối hợp giữa lực lượng ngoại xâm và nội ứng của Kiều Công Tiễn để thực hiện chiến thuật ""nội công ngoại kích."".","Quân Nam Hán tin rằng có Kiều Công Tiễn làm nội ứng để thực hiện chiến thuật ""nội công ngoại kích""."
8,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Với kế hoạch chuẩn bị kỹ lưỡng cùng niềm tin rằng đã có Kiều Công Tiễn làm nội ứng, quân Nam Hán hy vọng sẽ nhanh chóng chiếm được Giao Châu nhờ chiến thuật ""nội công ngoại kích."" Tuy nhiên, chúng không ngờ rằng Ngô Quyền đã kịp thời diệt trừ Kiều Công Tiễn, phá vỡ kế hoạch từ bên trong, đồng thời bày trận sẵn để dụ địch vào bẫy. Vào cuối mùa đông năm Mậu Tuất (938), gió mùa đông bắc thuận lợi khiến binh thuyền Nam Hán tiến xuống phương Nam dễ dàng, càng khiến chúng chủ quan và hăng hái. Quân Nam Hán tin rằng cuộc viễn chinh này sẽ nhanh chóng thành công, không hay biết rằng chỗ dựa chiến lược của mình đã sụp đổ.",Ngô Quyền đã làm gì để phá vỡ kế hoạch của quân Nam Hán?,"Ngô Quyền chủ động tiêu diệt Kiều Công Tiễn, làm tan rã lực lượng nội ứng và chuẩn bị sẵn trận địa đánh bại quân địch.
.","Ngô Quyền kịp thời diệt Kiều Công Tiễn, phá vỡ kế hoạch nội ứng và bày trận sẵn."
9,Giai đoạn 938 - 1858,Triều Ngô (939 - 965),"Mặc dù sử sách không ghi chép đầy đủ về bộ chỉ huy lãnh đạo cuộc kháng chiến chống Nam Hán, nhưng từ các nguồn tư liệu địa phương như thần tích, gia phả và truyền thuyết dân gian, ta có thể phác họa được phần nào bộ tham mưu của Ngô Quyền. Dưới cờ nghĩa của ông, nổi bật là con trai Ngô Xương Ngập. Bên cạnh đó còn có Dương Tam Kha — người từng cùng Ngô Quyền chiến đấu và gây dựng chính quyền thời họ Dương — cũng tham gia tích cực. Ngoài ra, nhiều hào trưởng địa phương từng theo Ngô Quyền như Đỗ Cảnh Thạc (vùng Đỗ Động), Phạm Bạch Hổ (Đằng Châu), Lã Minh (Siêu Loại), Nguyễn Tất Tố, Đào Nhuận… cũng góp sức trong cuộc chiến lịch sử này. Đặc biệt, còn có Dương Phương Lan — người bạn đời trung thành, sát cánh cùng Ngô Quyền từ những ngày đầu khởi nghĩa.",Những ai là thành viên chủ chốt trong bộ tham mưu của Ngô Quyền?,"Các thành viên chủ chốt gồm Ngô Xương Ngập, Dương Tam Kha và nhiều hào trưởng như Đỗ Cảnh Thạc, Phạm Bạch Hổ, Lã Minh, Nguyễn Tất Tố, Đào Nhuận….","Bộ tham mưu Ngô Quyền gồm con trai Ngô Xương Ngập, Dương Tam Kha cùng nhiều hào trưởng địa phương."
