index,period,heading,context,question,extractive answer,abstractive answer
0,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Chính cơ sở kinh tế phong kiến nảy sinh và dần hoàn thiện cũng tạo điều kiện cho sự tiếp thu những yếu tố văn hóa mới. Bản lĩnh văn hóa cổ truyền của người dân bản địa qua đó cũng được va chạm, thử thách để chứng minh sức mạnh trường tồn. Những trường học phong kiến được các đại biểu của chính quyền đô hộ như Tích Quang, Nhâm Diên... lập ra nhằm vào con cháu các quan lại ở Giao Chi để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ. Nho giáo theo đó được truyền bá vào xã hội Lạc Việt, thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ. * Nguyên nhân cuộc khởi nghĩa Năm 34, Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang. Đây là một tên quan nổi tiếng gian tham và tàn bạo. Sách Lĩnh nam chích quái viết: ""Bấy giờ Thứ sử Giao Châu là Tô Định tham lam tàn bạo, người trong châu quận khổ vì hắn"".",Ai được cử đến Giao Chỉ làm Thái thú thay Tích Quang?,Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang.,Tô Định được cử đến Giao Chỉ thay thế Tích Quang làm Thái thú.
1,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Chính cơ sở kinh tế phong kiến nảy sinh và dần hoàn thiện cũng tạo điều kiện cho sự tiếp thu những yếu tố văn hóa mới. Bản lĩnh văn hóa cổ truyền của người dân bản địa qua đó cũng được va chạm, thử thách để chứng minh sức mạnh trường tồn. Những trường học phong kiến được các đại biểu của chính quyền đô hộ như Tích Quang, Nhâm Diên... lập ra nhằm vào con cháu các quan lại ở Giao Chi để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ. Nho giáo theo đó được truyền bá vào xã hội Lạc Việt, thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ. * Nguyên nhân cuộc khởi nghĩa Năm 34, Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang. Đây là một tên quan nổi tiếng gian tham và tàn bạo. Sách Lĩnh nam chích quái viết: ""Bấy giờ Thứ sử Giao Châu là Tô Định tham lam tàn bạo, người trong châu quận khổ vì hắn"".","Theo sách Lĩnh Nam Chích Quái, Tô Định có đặc điểm gì?",Tô Định tham lam tàn bạo.,Sách Lĩnh Nam Chích Quái mô tả Tô Định là kẻ tham lam và tàn bạo.
2,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Chính cơ sở kinh tế phong kiến nảy sinh và dần hoàn thiện cũng tạo điều kiện cho sự tiếp thu những yếu tố văn hóa mới. Bản lĩnh văn hóa cổ truyền của người dân bản địa qua đó cũng được va chạm, thử thách để chứng minh sức mạnh trường tồn. Những trường học phong kiến được các đại biểu của chính quyền đô hộ như Tích Quang, Nhâm Diên... lập ra nhằm vào con cháu các quan lại ở Giao Chi để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ. Nho giáo theo đó được truyền bá vào xã hội Lạc Việt, thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ. * Nguyên nhân cuộc khởi nghĩa Năm 34, Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang. Đây là một tên quan nổi tiếng gian tham và tàn bạo. Sách Lĩnh nam chích quái viết: ""Bấy giờ Thứ sử Giao Châu là Tô Định tham lam tàn bạo, người trong châu quận khổ vì hắn"".",Nho giáo được truyền bá vào xã hội Lạc Việt và trở thành cơ sở gì cho chính quyền đô hộ?,Thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ.,Nho giáo trở thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ.
3,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Chính cơ sở kinh tế phong kiến nảy sinh và dần hoàn thiện cũng tạo điều kiện cho sự tiếp thu những yếu tố văn hóa mới. Bản lĩnh văn hóa cổ truyền của người dân bản địa qua đó cũng được va chạm, thử thách để chứng minh sức mạnh trường tồn. Những trường học phong kiến được các đại biểu của chính quyền đô hộ như Tích Quang, Nhâm Diên... lập ra nhằm vào con cháu các quan lại ở Giao Chi để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ. Nho giáo theo đó được truyền bá vào xã hội Lạc Việt, thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ. * Nguyên nhân cuộc khởi nghĩa Năm 34, Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang. Đây là một tên quan nổi tiếng gian tham và tàn bạo. Sách Lĩnh nam chích quái viết: ""Bấy giờ Thứ sử Giao Châu là Tô Định tham lam tàn bạo, người trong châu quận khổ vì hắn"".",Mục đích của việc chính quyền đô hộ lập ra các trường học phong kiến là gì?,Để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ.,Nhằm đào tạo nhân viên phục vụ cho chính quyền đô hộ.
4,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Chính cơ sở kinh tế phong kiến nảy sinh và dần hoàn thiện cũng tạo điều kiện cho sự tiếp thu những yếu tố văn hóa mới. Bản lĩnh văn hóa cổ truyền của người dân bản địa qua đó cũng được va chạm, thử thách để chứng minh sức mạnh trường tồn. Những trường học phong kiến được các đại biểu của chính quyền đô hộ như Tích Quang, Nhâm Diên... lập ra nhằm vào con cháu các quan lại ở Giao Chi để đào tạo nên những thuộc viên phục vụ cho chính quyền đô hộ. Nho giáo theo đó được truyền bá vào xã hội Lạc Việt, thành cơ sở cho chính quyền phong kiến nhà Hán trên đất Giao Chỉ. * Nguyên nhân cuộc khởi nghĩa Năm 34, Thái thú Tô Định được cừ đến Giao Chi thay Tích Quang. Đây là một tên quan nổi tiếng gian tham và tàn bạo. Sách Lĩnh nam chích quái viết: ""Bấy giờ Thứ sử Giao Châu là Tô Định tham lam tàn bạo, người trong châu quận khổ vì hắn"".",Tô Định thay thế ai làm Thái thú Giao Chỉ?,Thay Tích Quang.,Tô Định được cử đến thay thế Tích Quang làm Thái thú Giao Chỉ.
5,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Các sách sử Trung Quốc cũng khẳng định đây là một viên quan tàn ác và bạo ngược. Việt kiệu thưviết: ""Thái thú Tô Định tham lam độc ác, dùng pháp luật trói buộc"". Chính sách áp bức bóc lột của nhà Đông Hán đối với người dân Giao Chi ngày càng tàn tệ. Người dân không những bị cướp dưới hình thức nộp cống. Các quan lại cấp huyện dòng dõi các Lạc hầu, Lạc tướng bị thu hẹp về quyền lực chính trị và kinh tế, bị thúc ép, đè nén nên rất bất bình. Bất chấp sự khác biệt trong phong tục nhà Hán làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.",Các sách sử Trung Quốc miêu tả Tô Định là người như thế nào?,Một viên quan tàn ác và bạo ngược.,Các sách sử Trung Quốc miêu tả Tô Định là một quan viên tàn ác và bạo ngược.
6,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Các sách sử Trung Quốc cũng khẳng định đây là một viên quan tàn ác và bạo ngược. Việt kiệu thưviết: ""Thái thú Tô Định tham lam độc ác, dùng pháp luật trói buộc"". Chính sách áp bức bóc lột của nhà Đông Hán đối với người dân Giao Chi ngày càng tàn tệ. Người dân không những bị cướp dưới hình thức nộp cống. Các quan lại cấp huyện dòng dõi các Lạc hầu, Lạc tướng bị thu hẹp về quyền lực chính trị và kinh tế, bị thúc ép, đè nén nên rất bất bình. Bất chấp sự khác biệt trong phong tục nhà Hán làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.","Theo Việt Kiệu Thư, Thái thú Tô Định có đặc điểm gì?","Tham lam độc ác, dùng pháp luật trói buộc.","Việt Kiệu Thư viết rằng Tô Định tham lam, độc ác và dùng pháp luật để trói buộc."
7,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Các sách sử Trung Quốc cũng khẳng định đây là một viên quan tàn ác và bạo ngược. Việt kiệu thưviết: ""Thái thú Tô Định tham lam độc ác, dùng pháp luật trói buộc"". Chính sách áp bức bóc lột của nhà Đông Hán đối với người dân Giao Chi ngày càng tàn tệ. Người dân không những bị cướp dưới hình thức nộp cống. Các quan lại cấp huyện dòng dõi các Lạc hầu, Lạc tướng bị thu hẹp về quyền lực chính trị và kinh tế, bị thúc ép, đè nén nên rất bất bình. Bất chấp sự khác biệt trong phong tục nhà Hán làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.",Người dân Giao Chỉ bị cướp bóc dưới hình thức nào theo đoạn văn?,Dưới hình thức nộp cống.,Người dân Giao Chỉ bị cướp bóc dưới hình thức nộp cống.
8,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Các sách sử Trung Quốc cũng khẳng định đây là một viên quan tàn ác và bạo ngược. Việt kiệu thưviết: ""Thái thú Tô Định tham lam độc ác, dùng pháp luật trói buộc"". Chính sách áp bức bóc lột của nhà Đông Hán đối với người dân Giao Chi ngày càng tàn tệ. Người dân không những bị cướp dưới hình thức nộp cống. Các quan lại cấp huyện dòng dõi các Lạc hầu, Lạc tướng bị thu hẹp về quyền lực chính trị và kinh tế, bị thúc ép, đè nén nên rất bất bình. Bất chấp sự khác biệt trong phong tục nhà Hán làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.","Các quan lại dòng dõi Lạc hầu, Lạc tướng bị ảnh hưởng ra sao?",Bị thu hẹp về quyền lực chính trị và kinh tế.,"Các quan lại dòng dõi Lạc hầu, Lạc tướng bị thu hẹp quyền lực chính trị và kinh tế."
9,Thời kỳ Trưng Nữ Vương (Giai đoạn 40 – 43),Nước Âu Lạc đầu công nguyên và cuộc khởi nghĩa Hai Bà Trưng,"Các sách sử Trung Quốc cũng khẳng định đây là một viên quan tàn ác và bạo ngược. Việt kiệu thưviết: ""Thái thú Tô Định tham lam độc ác, dùng pháp luật trói buộc"". Chính sách áp bức bóc lột của nhà Đông Hán đối với người dân Giao Chi ngày càng tàn tệ. Người dân không những bị cướp dưới hình thức nộp cống. Các quan lại cấp huyện dòng dõi các Lạc hầu, Lạc tướng bị thu hẹp về quyền lực chính trị và kinh tế, bị thúc ép, đè nén nên rất bất bình. Bất chấp sự khác biệt trong phong tục nhà Hán làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.",Nhà Hán đã sử dụng phong tục nhằm mục đích gì đối với người dân Giao Chỉ?,"Làm công cụ trấn áp, khủng bố sự phản kháng của các quan lại địa phương và người dân Giao Chỉ.","Nhà Hán sử dụng phong tục làm công cụ trấn áp, khủng bố sự phản kháng của người dân và quan lại địa phương."
